utc,forecast_MWh
20220911T11Z,1913
20220911T10Z,1952
20220911T09Z,2028
20220911T08Z,2123
20220911T07Z,2421
20220911T06Z,2606
20220911T05Z,2799
20220911T04Z,2963
20220911T03Z,3041
20220911T02Z,3098
20220911T01Z,3085
20220911T00Z,3009
20220910T23Z,2909
20220910T22Z,2800
20220910T21Z,2711
20220910T20Z,2610
20220910T19Z,2555
20220910T18Z,2536
20220910T17Z,2469
20220910T16Z,2334
20220910T15Z,2136
20220910T14Z,2038
20220910T13Z,1980
20220910T12Z,1952
20220910T11Z,1952
20220910T10Z,1993
20220910T09Z,2075
20220910T08Z,2147
20220910T07Z,2318
20220910T06Z,2518
20220910T05Z,2710
20220910T04Z,2876
20220910T03Z,2964
20220910T02Z,3049
20220910T01Z,3081
20220910T00Z,3044
20220909T23Z,2968
20220909T22Z,2870
20220909T21Z,2779
20220909T20Z,2674
20220909T19Z,2597
20220909T18Z,2529
20220909T17Z,2476
20220909T16Z,2419
20220909T15Z,2384
20220909T14Z,2235
20220909T13Z,2044
20220909T12Z,1921
20220909T11Z,1899
20220909T10Z,1926
20220909T09Z,1973
20220909T08Z,2095
20220909T07Z,2187
20220909T06Z,2380
20220909T05Z,2596
20220909T04Z,2777
20220909T03Z,2835
20220909T02Z,2865
20220909T01Z,2866
20220909T00Z,2801
20220908T23Z,2724
20220908T22Z,2640
20220908T21Z,2584
20220908T20Z,2519
20220908T19Z,2454
20220908T18Z,2437
20220908T17Z,2436
20220908T16Z,2467
20220908T15Z,2432
20220908T14Z,2274
20220908T13Z,2059
20220908T12Z,1928
20220908T11Z,1904
20220908T10Z,1933
20220908T09Z,2009
20220908T08Z,2116
20220908T07Z,2290
20220908T06Z,2513
20220908T05Z,2770
20220908T04Z,2995
20220908T03Z,3105
20220908T02Z,3189
20220908T01Z,3223
20220908T00Z,3182
20220907T23Z,3113
20220907T22Z,3020
20220907T21Z,2933
20220907T20Z,2836
20220907T19Z,2681
20220907T18Z,2630
20220907T17Z,2590
20220907T16Z,2567
20220907T15Z,2512
20220907T14Z,2375
20220907T13Z,2163
20220907T12Z,2048
20220907T11Z,2039
20220907T10Z,2084
20220907T09Z,2182
20220907T08Z,2341
20220907T07Z,2423
20220907T06Z,2661
20220907T05Z,2918
20220907T04Z,3128
20220907T03Z,3213
20220907T02Z,3270
20220907T01Z,3274
20220907T00Z,3194
20220906T23Z,3087
20220906T22Z,2957
20220906T21Z,2847
20220906T20Z,2726
20220906T19Z,2606
20220906T18Z,2531
20220906T17Z,2480
20220906T16Z,2454
20220906T15Z,2404
20220906T14Z,2263
20220906T13Z,2054
20220906T12Z,1913
20220906T11Z,1880
20220906T10Z,1885
20220906T09Z,1939
20220906T08Z,2051
20220906T07Z,2188
20220906T06Z,2392
20220906T05Z,2626
20220906T04Z,2835
20220906T03Z,2901
20220906T02Z,2998
20220906T01Z,3004
20220906T00Z,2896
20220905T23Z,2762
20220905T22Z,2639
20220905T21Z,2524
20220905T20Z,2436
20220905T19Z,2364
20220905T18Z,2277
20220905T17Z,2175
20220905T16Z,2092
20220905T15Z,1974
20220905T14Z,1927
20220905T13Z,1906
20220905T12Z,1883
20220905T11Z,1900
20220905T10Z,1965
20220905T09Z,2026
20220905T08Z,2129
20220905T07Z,2257
20220905T06Z,2458
20220905T05Z,2671
20220905T04Z,2840
20220905T03Z,2886
20220905T02Z,2924
20220905T01Z,2919
20220905T00Z,2828
20220904T23Z,2717
20220904T22Z,2603
20220904T21Z,2506
20220904T20Z,2406
20220904T19Z,2316
20220904T18Z,2225
20220904T17Z,2132
20220904T16Z,2006
20220904T15Z,1928
20220904T14Z,1911
20220904T13Z,1841
20220904T12Z,1852
20220904T11Z,1850
20220904T10Z,1898
20220904T09Z,1965
20220904T08Z,2048
20220904T07Z,2179
20220904T06Z,2346
20220904T05Z,2511
20220904T04Z,2637
20220904T03Z,2670
20220904T02Z,2709
20220904T01Z,2702
20220904T00Z,2627
20220903T23Z,2554
20220903T22Z,2481
20220903T21Z,2438
20220903T20Z,2396
20220903T19Z,2409
20220903T18Z,2375
20220903T17Z,2311
20220903T16Z,2219
20220903T15Z,2134
20220903T14Z,2044
20220903T13Z,1967
20220903T12Z,1939
20220903T11Z,1928
20220903T10Z,1962
20220903T09Z,2029
20220903T08Z,2200
20220903T07Z,2489
20220903T06Z,2723
20220903T05Z,2959
20220903T04Z,3162
20220903T03Z,3251
20220903T02Z,3359
20220903T01Z,3417
20220903T00Z,3370
20220902T23Z,3288
20220902T22Z,3169
20220902T21Z,3058
20220902T20Z,2935
20220902T19Z,2796
20220902T18Z,2685
20220902T17Z,2583
20220902T16Z,2483
20220902T15Z,2409
20220902T14Z,2322
20220902T13Z,2177
20220902T12Z,2087
20220902T11Z,2060
20220902T10Z,2108
20220902T09Z,2198
20220902T08Z,2370
20220902T07Z,2488
20220902T06Z,2720
20220902T05Z,2959
20220902T04Z,3151
20220902T03Z,3213
20220902T02Z,3271
20220902T01Z,3297
20220902T00Z,3230
20220901T23Z,3133
20220901T22Z,3018
20220901T21Z,2928
20220901T20Z,2827
20220901T19Z,2669
20220901T18Z,2579
20220901T17Z,2558
20220901T16Z,2527
20220901T15Z,2486
20220901T14Z,2369
20220901T13Z,2179
20220901T12Z,2074
20220901T11Z,2076
20220901T10Z,2139
20220901T09Z,2240
20220901T08Z,2437
20220901T07Z,2749
20220901T06Z,3031
20220901T05Z,3321
20220901T04Z,3551
20220901T03Z,3682
20220901T02Z,3786
20220901T01Z,3812
20220901T00Z,3769
20220831T23Z,3697
20220831T22Z,3566
20220831T21Z,3435
20220831T20Z,3282
20220831T19Z,3083
20220831T18Z,2950
20220831T17Z,2847
20220831T16Z,2777
20220831T15Z,2683
20220831T14Z,2543
20220831T13Z,2394
20220831T12Z,2296
20220831T11Z,2290
20220831T10Z,2369
20220831T09Z,2479
20220831T08Z,2655
20220831T07Z,2862
20220831T06Z,3152
20220831T05Z,3449
20220831T04Z,3679
20220831T03Z,3810
20220831T02Z,3906
20220831T01Z,3925
20220831T00Z,3872
20220830T23Z,3767
20220830T22Z,3619
20220830T21Z,3473
20220830T20Z,3309
20220830T19Z,3049
20220830T18Z,2858
20220830T17Z,2779
20220830T16Z,2666
20220830T15Z,2567
20220830T14Z,2427
20220830T13Z,2274
20220830T12Z,2165
20220830T11Z,2153
20220830T10Z,2212
20220830T09Z,2325
20220830T08Z,2503
20220830T07Z,2626
20220830T06Z,2878
20220830T05Z,3145
20220830T04Z,3347
20220830T03Z,3451
20220830T02Z,3527
20220830T01Z,3528
20220830T00Z,3435
20220829T23Z,3318
20220829T22Z,3176
20220829T21Z,3046
20220829T20Z,2911
20220829T19Z,2764
20220829T18Z,2631
20220829T17Z,2543
20220829T16Z,2442
20220829T15Z,2376
20220829T14Z,2227
20220829T13Z,2075
20220829T12Z,1945
20220829T11Z,1906
20220829T10Z,1925
20220829T09Z,1976
20220829T08Z,2072
20220829T07Z,2151
20220829T06Z,2346
20220829T05Z,2544
20220829T04Z,2676
20220829T03Z,2709
20220829T02Z,2736
20220829T01Z,2688
20220829T00Z,2559
20220828T23Z,2434
20220828T22Z,2334
20220828T21Z,2269
20220828T20Z,2196
20220828T19Z,2161
20220828T18Z,2149
20220828T17Z,2070
20220828T16Z,2002
20220828T15Z,1918
20220828T14Z,1874
20220828T13Z,1845
20220828T12Z,1821
20220828T11Z,1810
20220828T10Z,1842
20220828T09Z,1894
20220828T08Z,2003
20220828T07Z,2089
20220828T06Z,2235
20220828T05Z,2392
20220828T04Z,2501
20220828T03Z,2521
20220828T02Z,2570
20220828T01Z,2582
20220828T00Z,2536
20220827T23Z,2483
20220827T22Z,2432
20220827T21Z,2409
20220827T20Z,2379
20220827T19Z,2347
20220827T18Z,2329
20220827T17Z,2277
20220827T16Z,2173
20220827T15Z,2086
20220827T14Z,2023
20220827T13Z,1980
20220827T12Z,1948
20220827T11Z,1956
20220827T10Z,2000
20220827T09Z,2087
20220827T08Z,2224
20220827T07Z,2261
20220827T06Z,2442
20220827T05Z,2636
20220827T04Z,2786
20220827T03Z,2837
20220827T02Z,2928
20220827T01Z,2958
20220827T00Z,2917
20220826T23Z,2867
20220826T22Z,2816
20220826T21Z,2779
20220826T20Z,2730
20220826T19Z,2710
20220826T18Z,2706
20220826T17Z,2653
20220826T16Z,2586
20220826T15Z,2491
20220826T14Z,2373
20220826T13Z,2251
20220826T12Z,2163
20220826T11Z,2150
20220826T10Z,2212
20220826T09Z,2315
20220826T08Z,2522
20220826T07Z,2728
20220826T06Z,2996
20220826T05Z,3286
20220826T04Z,3507
20220826T03Z,3622
20220826T02Z,3737
20220826T01Z,3794
20220826T00Z,3758
20220825T23Z,3694
20220825T22Z,3578
20220825T21Z,3456
20220825T20Z,3311
20220825T19Z,3125
20220825T18Z,2972
20220825T17Z,2844
20220825T16Z,2743
20220825T15Z,2644
20220825T14Z,2526
20220825T13Z,2370
20220825T12Z,2265
20220825T11Z,2254
20220825T10Z,2326
20220825T09Z,2457
20220825T08Z,2629
20220825T07Z,2760
20220825T06Z,3027
20220825T05Z,3303
20220825T04Z,3495
20220825T03Z,3581
20220825T02Z,3669
20220825T01Z,3695
20220825T00Z,3629
20220824T23Z,3533
20220824T22Z,3402
20220824T21Z,3273
20220824T20Z,3132
20220824T19Z,2956
20220824T18Z,2829
20220824T17Z,2712
20220824T16Z,2608
20220824T15Z,2515
20220824T14Z,2391
20220824T13Z,2217
20220824T12Z,2106
20220824T11Z,2083
20220824T10Z,2134
20220824T09Z,2238
20220824T08Z,2386
20220824T07Z,2556
20220824T06Z,2786
20220824T05Z,3034
20220824T04Z,3209
20220824T03Z,3285
20220824T02Z,3361
20220824T01Z,3379
20220824T00Z,3314
20220823T23Z,3241
20220823T22Z,3146
20220823T21Z,3066
20220823T20Z,2965
20220823T19Z,2804
20220823T18Z,2730
20220823T17Z,2646
20220823T16Z,2582
20220823T15Z,2500
20220823T14Z,2368
20220823T13Z,2222
20220823T12Z,2120
20220823T11Z,2101
20220823T10Z,2149
20220823T09Z,2285
20220823T08Z,2421
20220823T07Z,2530
20220823T06Z,2776
20220823T05Z,3039
20220823T04Z,3239
20220823T03Z,3353
20220823T02Z,3457
20220823T01Z,3489
20220823T00Z,3433
20220822T23Z,3362
20220822T22Z,3256
20220822T21Z,3154
20220822T20Z,3037
20220822T19Z,2918
20220822T18Z,2792
20220822T17Z,2679
20220822T16Z,2597
20220822T15Z,2519
20220822T14Z,2385
20220822T13Z,2229
20220822T12Z,2111
20220822T11Z,2068
20220822T10Z,2092
20220822T09Z,2174
20220822T08Z,2342
20220822T07Z,2443
20220822T06Z,2682
20220822T05Z,2915
20220822T04Z,3068
20220822T03Z,3140
20220822T02Z,3185
20220822T01Z,3149
20220822T00Z,3031
20220821T23Z,2909
20220821T22Z,2789
20220821T21Z,2686
20220821T20Z,2571
20220821T19Z,2433
20220821T18Z,2339
20220821T17Z,2244
20220821T16Z,2127
20220821T15Z,2012
20220821T14Z,1959
20220821T13Z,1938
20220821T12Z,1918
20220821T11Z,1936
20220821T10Z,1984
20220821T09Z,2076
20220821T08Z,2158
20220821T07Z,2315
20220821T06Z,2502
20220821T05Z,2669
20220821T04Z,2784
20220821T03Z,2831
20220821T02Z,2884
20220821T01Z,2881
20220821T00Z,2809
20220820T23Z,2729
20220820T22Z,2646
20220820T21Z,2581
20220820T20Z,2510
20220820T19Z,2483
20220820T18Z,2462
20220820T17Z,2406
20220820T16Z,2312
20220820T15Z,2211
20220820T14Z,2125
20220820T13Z,2081
20220820T12Z,2080
20220820T11Z,2080
20220820T10Z,2125
20220820T09Z,2205
20220820T08Z,2308
20220820T07Z,2458
20220820T06Z,2671
20220820T05Z,2886
20220820T04Z,3036
20220820T03Z,3119
20220820T02Z,3208
20220820T01Z,3228
20220820T00Z,3170
20220819T23Z,3101
20220819T22Z,3011
20220819T21Z,2933
20220819T20Z,2840
20220819T19Z,2805
20220819T18Z,2785
20220819T17Z,2786
20220819T16Z,2731
20220819T15Z,2627
20220819T14Z,2483
20220819T13Z,2367
20220819T12Z,2313
20220819T11Z,2313
